Q3	Q4a	Q4b	Q4c	Q4d	Q4e	Q5a	Q5b	Q5c	Q6	Q7a	Q7b	Q7c	Q7d	Q7e	Q7f	Q7g	Q7h	Q7i	Q7j	Q7k	Q7l	Q8a	Q8b	Q8c	Q10	Q15	Q15b	Q16	Q1	CODERESP
9	10	9	10	98	98	9	9	9	8	8	9	9	9	9	8	9	9	8	8	10	8	98	98	98	10	9	8	8	2	263
8	8	8	8	6	5	10	10	10	9	8	9	7	8	10	10	8	9	10	7	10	8	6	8	7	10	8	8	8	2	134
9	9	9	9	5	98	5	7	7	7	7	7	8	7	8	9	9	7	8	8	9	8	9	7	5	5	8	8	8	2	310
8	7	9	7	8	98	10	9	9	8	9	8	8	8	7	7	8	9	8	7	8	7	8	8	98	5	7	7	8	2	384
8	10	8	8	7	7	8	8	8	8	8	7	7	7	8	8	8	7	8	8	8	7	8	7	8	10	8	9	8	2	53
8	8	98	8	8	98	10	10	10	8	8	8	8	7	7	8	7	8	7	98	9	7	98	98	98	5	10	10	8	2	390
8	8	5	8	5	5	8	10	10	8	10	10	8	7	8	8	8	7	8	8	8	7	5	5	5	8	8	8	8	2	417
8	10	8	10	7	98	8	10	10	7	8	8	8	7	8	10	8	9	9	8	10	7	7	7	7	9	10	10	9	2	81
10	10	5	10	10	98	10	10	10	9	10	10	10	10	10	10	10	98	10	10	10	10	98	98	10	10	10	10	5	2	167
9	8	9	10	8	98	8	8	8	7	9	8	7	7	8	9	9	9	8	10	10	8	7	98	8	7	8	8	8	2	180
9	10	10	10	7	7	9	9	9	7	8	8	9	9	8	10	8	9	9	5	10	7	7	8	9	9	9	9	8	2	107
9	10	5	10	10	98	10	10	10	8	9	5	10	8	9	8	8	8	7	8	10	8	8	8	98	5	8	8	7	2	270
8	8	9	7	9	5	10	10	10	8	9	7	7	98	7	8	10	8	8	6	9	7	5	5	8	8	9	8	7	2	179
8	8	5	8	5	5	10	10	10	8	9	98	8	98	9	8	9	98	7	7	9	7	6	6	5	7	8	8	7	2	104
9	9	9	9	9	9	9	9	9	5	9	5	9	9	9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	2	337
8	8	9	9	8	8	10	10	10	8	8	8	9	9	8	8	8	9	9	8	9	8	8	8	9	9	9	9	7	2	216
7	7	7	9	7	7	6	7	9	8	8	6	7	8	8	7	5	7	8	7	9	6	7	7	7	5	8	8	8	2	77
7	8	7	8	6	98	10	9	9	8	8	8	8	7	6	8	8	7	8	6	8	7	7	7	7	7	7	7	7	2	379
8	8	8	8	5	5	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	6	5	5	6	7	8	7	7	2	415
8	8	7	8	6	98	7	8	8	6	8	7	8	7	6	6	8	8	8	7	10	7	4	4	98	7	8	8	8	2	383
8	8	8	8	7	7	8	8	8	7	7	7	7	7	8	7	7	7	7	7	8	7	8	7	7	7	7	7	7	2	450
8	9	8	8	6	98	9	9	9	6	9	7	8	8	9	9	10	10	9	8	10	7	7	7	7	8	9	8	8	2	171
8	8	10	10	98	9	10	10	10	7	8	98	8	7	98	7	8	98	10	98	10	8	7	7	98	5	9	9	6	2	97
8	8	6	8	8	6	8	8	8	8	7	5	7	98	7	8	8	98	8	8	10	8	5	5	5	8	7	7	5	2	153
7	9	7	8	5	6	8	8	9	7	8	8	9	7	7	8	8	98	9	8	9	6	4	5	5	6	6	6	7	2	127
7	9	8	9	7	6	9	9	10	7	8	7	7	7	7	8	6	7	7	8	9	7	7	8	7	8	6	6	6	2	441
8	8	10	9	6	98	9	9	9	5	8	8	9	8	7	7	8	98	8	8	9	7	8	98	9	8	9	8	7	2	42
8	8	8	8	7	98	9	10	9	5	8	8	8	8	7	8	8	98	8	8	8	7	8	8	8	7	6	7	7	2	255
8	8	98	7	98	98	8	10	10	5	8	10	8	98	10	8	8	98	6	7	10	8	5	7	6	7	98	8	7	2	2
7	8	6	5	5	98	9	9	9	7	7	5	8	8	8	9	8	98	9	6	9	7	7	5	5	5	5	5	5	2	352
8	9	98	8	98	98	10	10	10	5	10	98	10	9	5	4	10	5	3	2	8	4	3	2	5	2	5	5	5	2	401
6	6	5	6	5	6	7	7	7	6	7	6	7	6	6	6	6	6	6	6	7	6	6	6	98	7	6	6	6	2	365
3	5	7	3	4	6	6	7	7	3	5	7	6	5	2	2	3	5	5	2	5	2	4	5	6	1	3	1	4	2	128
6	7	6	7	6	5	7	8	8	6	6	7	6	6	5	7	7	98	8	8	7	7	5	5	4	5	5	5	5	2	90
6	7	4	5	5	5	7	8	8	5	7	5	5	7	5	7	6	4	7	8	8	5	3	4	6	4	5	4	4	2	395
8	10	98	8	8	8	8	10	10	4	5	5	5	5	8	5	5	98	1	1	8	5	5	5	5	8	5	1	3	2	333
3	5	3	3	3	98	98	8	10	4	4	4	2	98	8	3	5	98	7	3	6	4	4	4	3	1	5	5	4	2	387
10	10	10	10	9	98	10	10	10	10	10	10	10	5	10	10	10	5	10	10	10	10	5	5	5	10	10	10	10	2	182
10	10	98	10	10	98	10	10	10	10	10	10	98	98	10	10	10	10	10	10	10	8	8	10	98	10	10	10	10	2	21
10	10	10	10	7	8	10	10	10	9	10	10	10	10	9	9	10	10	10	8	10	10	7	7	9	10	10	10	10	2	380
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	9	2	354
10	10	8	10	9	8	10	10	10	10	10	10	98	10	10	10	10	10	10	10	10	10	9	9	8	9	10	10	9	2	75
9	10	98	8	8	98	10	9	10	10	8	8	8	8	8	8	8	8	8	8	10	8	98	98	98	5	8	8	9	2	307
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	9	9	98	10	10	10	10	2	55
10	10	10	10	7	98	10	10	10	10	10	8	10	10	10	10	10	10	10	10	10	98	98	8	98	10	10	10	7	2	116
9	9	9	10	7	7	10	10	10	9	10	9	8	8	8	10	7	9	9	7	10	7	8	8	8	10	9	10	9	2	218
9	9	8	10	6	98	10	10	10	10	9	9	9	8	8	9	8	9	9	6	10	6	8	8	98	10	98	7	8	2	277
9	9	9	9	9	98	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	98	10	9	9	9	2	446
9	9	8	8	6	5	8	8	8	9	8	9	9	8	7	8	9	10	10	8	10	7	5	5	8	10	8	8	8	2	186
8	10	10	10	8	5	9	9	9	9	10	8	8	9	10	10	9	98	10	10	10	10	8	8	9	10	10	10	9	2	54
9	9	98	6	98	98	10	10	10	9	9	9	98	9	9	8	9	9	9	6	9	98	8	8	8	8	8	8	8	2	437
9	9	8	9	9	98	10	9	9	9	9	9	9	9	10	9	9	9	9	9	10	9	7	7	8	8	9	9	8	2	89
8	8	8	9	9	8	10	10	10	8	10	10	9	8	9	7	8	9	10	9	10	9	9	9	8	7	98	9	9	2	359
8	9	9	9	7	98	8	9	9	9	8	9	8	7	9	9	9	98	8	8	10	8	8	8	8	10	9	9	8	2	151
9	2	9	9	8	7	10	10	10	9	9	9	8	10	9	9	9	9	8	8	9	9	5	5	5	9	9	9	7	2	63
8	10	9	9	98	98	10	10	10	9	9	98	9	8	9	9	9	98	9	9	10	5	8	8	8	10	9	10	8	2	282
8	9	9	9	8	8	8	8	8	9	9	8	8	98	9	8	8	98	9	7	10	7	10	9	9	1	9	9	8	2	74
9	10	9	10	98	98	9	9	9	8	8	9	9	9	9	8	9	9	8	8	10	8	98	98	98	10	9	8	8	2	263
8	8	8	8	6	5	10	10	10	9	8	9	7	8	10	10	8	9	10	7	10	8	6	8	7	10	8	8	8	2	134
9	9	9	9	5	98	5	7	7	7	7	7	8	7	8	9	9	7	8	8	9	8	9	7	5	5	8	8	8	2	310
8	7	9	7	8	98	10	9	9	8	9	8	8	8	7	7	8	9	8	7	8	7	8	8	98	5	7	7	8	2	384
8	10	8	8	7	7	8	8	8	8	8	7	7	7	8	8	8	7	8	8	8	7	8	7	8	10	8	9	8	2	53
8	8	98	8	8	98	10	10	10	8	8	8	8	7	7	8	7	8	7	98	9	7	98	98	98	5	10	10	8	2	390
8	8	5	8	5	5	8	10	10	8	10	10	8	7	8	8	8	7	8	8	8	7	5	5	5	8	8	8	8	2	417
8	10	8	10	7	98	8	10	10	7	8	8	8	7	8	10	8	9	9	8	10	7	7	7	7	9	10	10	9	2	81
10	10	5	10	10	98	10	10	10	9	10	10	10	10	10	10	10	98	10	10	10	10	98	98	10	10	10	10	5	2	167
9	8	9	10	8	98	8	8	8	7	9	8	7	7	8	9	9	9	8	10	10	8	7	98	8	7	8	8	8	2	180
9	10	10	10	7	7	9	9	9	7	8	8	9	9	8	10	8	9	9	5	10	7	7	8	9	9	9	9	8	2	107
9	10	5	10	10	98	10	10	10	8	9	5	10	8	9	8	8	8	7	8	10	8	8	8	98	5	8	8	7	2	270
8	8	9	7	9	5	10	10	10	8	9	7	7	98	7	8	10	8	8	6	9	7	5	5	8	8	9	8	7	2	179
8	8	5	8	5	5	10	10	10	8	9	98	8	98	9	8	9	98	7	7	9	7	6	6	5	7	8	8	7	2	104
9	9	9	9	9	9	9	9	9	5	9	5	9	9	9	9	9	9	9	9	10	9	9	9	9	9	9	9	9	2	337
8	8	9	9	8	8	10	10	10	8	8	8	9	9	8	8	8	9	9	8	9	8	8	8	9	9	9	9	7	2	216
7	7	7	9	7	7	6	7	9	8	8	6	7	8	8	7	5	7	8	7	9	6	7	7	7	5	8	8	8	2	77
7	8	7	8	6	98	10	9	9	8	8	8	8	7	6	8	8	7	8	6	8	7	7	7	7	7	7	7	7	2	379
8	8	8	8	5	5	8	8	8	7	8	8	8	8	8	8	8	8	8	8	8	6	5	5	6	7	8	7	7	2	415
8	8	7	8	6	98	7	8	8	6	8	7	8	7	6	6	8	8	8	7	10	7	4	4	98	7	8	8	8	2	383
8	8	8	8	7	7	8	8	8	7	7	7	7	7	8	7	7	7	7	7	8	7	8	7	7	7	7	7	7	2	450
8	9	8	8	6	98	9	9	9	6	9	7	8	8	9	9	10	10	9	8	10	7	7	7	7	8	9	8	8	2	171
8	8	10	10	98	9	10	10	10	7	8	98	8	7	98	7	8	98	10	98	10	8	7	7	98	5	9	9	6	2	97
8	8	6	8	8	6	8	8	8	8	7	5	7	98	7	8	8	98	8	8	10	8	5	5	5	8	7	7	5	2	153
7	9	7	8	5	6	8	8	9	7	8	8	9	7	7	8	8	98	9	8	9	6	4	5	5	6	6	6	7	2	127
7	9	8	9	7	6	9	9	10	7	8	7	7	7	7	8	6	7	7	8	9	7	7	8	7	8	6	6	6	2	441
8	8	10	9	6	98	9	9	9	5	8	8	9	8	7	7	8	98	8	8	9	7	8	98	9	8	9	8	7	2	42
8	8	8	8	7	98	9	10	9	5	8	8	8	8	7	8	8	98	8	8	8	7	8	8	8	7	6	7	7	2	255
8	8	98	7	98	98	8	10	10	5	8	10	8	98	10	8	8	98	6	7	10	8	5	7	6	7	98	8	7	2	2
7	8	6	5	5	98	9	9	9	7	7	5	8	8	8	9	8	98	9	6	9	7	7	5	5	5	5	5	5	2	352
8	9	98	8	98	98	10	10	10	5	10	98	10	9	5	4	10	5	3	2	8	4	3	2	5	2	5	5	5	2	401
6	6	5	6	5	6	7	7	7	6	7	6	7	6	6	6	6	6	6	6	7	6	6	6	98	7	6	6	6	2	365
3	5	7	3	4	6	6	7	7	3	5	7	6	5	2	2	3	5	5	2	5	2	4	5	6	1	3	1	4	2	128
6	7	98	6	4	98	10	10	10	7	8	7	7	98	8	8	9	98	8	7	9	4	7	6	98	5	6	5	6	3	288
7	8	7	6	7	98	7	7	8	7	7	98	7	8	9	8	6	7	7	6	8	6	9	8	8	6	5	5	6	3	265
7	8	7	8	6	6	8	8	7	7	8	7	6	5	5	6	7	7	8	7	7	6	5	5	5	5	6	3	6	3	144
6	5	7	7	5	5	8	8	8	6	10	8	7	98	10	8	8	98	6	8	10	8	10	10	8	4	98	5	6	3	99
7	7	6	6	5	5	7	7	5	5	7	6	6	7	5	7	8	7	7	7	8	5	5	4	5	5	7	5	6	3	357
7	8	6	6	6	1	10	10	10	7	6	8	98	6	8	8	7	7	9	8	9	6	5	5	98	3	5	5	7	3	86
8	8	98	8	6	98	3	5	5	8	7	98	7	8	9	7	8	98	7	8	9	5	7	7	98	5	8	5	7	3	206
5	5	5	6	4	98	8	8	9	6	8	98	98	6	7	4	98	8	9	4	8	5	4	4	98	5	5	5	5	3	370
5	4	7	7	98	2	8	8	8	5	6	8	98	4	2	6	7	98	8	7	5	3	4	4	4	1	5	5	3	3	362
8	10	98	8	7	98	10	8	10	5	8	8	8	7	9	7	10	10	10	7	9	8	7	7	98	8	7	5	7	3	344
10	10	9	10	8	7	10	10	10	10	9	9	10	10	10	9	10	9	10	8	10	8	8	8	8	10	10	10	10	3	397
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	10	10	10	10	10	3	60
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	8	8	98	10	10	10	10	3	203
9	10	10	10	8	98	10	10	10	10	10	10	10	9	10	10	9	10	10	10	10	10	10	10	10	10	10	10	10	3	30
9	10	7	10	8	98	10	10	10	10	9	98	9	98	8	10	9	10	10	8	10	7	10	7	98	9	9	10	9	3	173
10	10	9	9	8	7	9	8	8	9	9	8	8	8	9	10	9	8	9	9	10	9	7	7	8	10	9	9	9	3	15
9	9	7	10	8	7	9	9	8	10	9	9	9	9	9	8	10	8	9	8	10	8	8	9	9	10	10	10	9	3	308
9	9	9	9	9	9	10	10	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	9	9	9	3	448
10	10	8	9	9	9	9	10	10	9	10	10	10	10	9	9	10	10	10	10	10	10	9	9	8	10	10	10	9	3	56
9	9	9	9	9	9	10	10	10	10	9	10	9	10	9	8	8	5	10	9	9	9	8	8	8	9	9	9	8	3	447
9	9	7	9	9	8	10	10	9	9	9	9	9	9	9	8	8	9	9	9	10	8	8	7	9	10	9	9	9	3	85
9	9	8	9	8	98	9	9	9	9	8	8	8	8	9	8	9	98	9	8	9	98	8	8	8	10	10	10	9	3	132
9	10	10	9	98	98	10	10	10	9	9	10	10	98	8	9	9	9	9	9	10	8	7	9	10	10	9	9	9	3	24
9	10	8	9	8	7	9	9	8	9	8	7	8	8	7	9	9	8	8	7	9	8	7	8	98	8	8	8	9	3	113
9	10	8	8	7	98	9	9	9	9	8	7	8	98	8	8	9	8	7	7	8	7	8	7	8	8	8	8	8	3	174
9	10	9	10	98	98	10	10	10	9	10	9	10	9	9	9	10	98	9	8	10	98	8	8	8	9	9	9	8	3	185
9	8	8	10	6	6	7	10	10	9	8	8	9	8	9	9	9	8	9	9	9	6	98	98	98	5	9	10	8	3	91
9	10	7	10	98	98	8	9	9	9	10	98	8	10	10	10	10	8	8	8	10	7	8	7	7	8	8	8	8	3	343
9	10	8	9	8	7	9	9	9	9	9	8	9	9	9	9	9	98	10	9	10	8	7	7	9	9	10	10	8	3	339
9	10	8	8	98	98	10	10	10	9	8	8	8	8	9	7	7	8	8	8	10	98	5	6	98	10	8	10	8	3	229
8	8	8	8	8	5	9	8	8	9	8	8	8	8	7	7	9	10	6	6	10	8	7	7	8	10	9	9	8	3	120
9	7	7	8	6	5	8	8	8	8	7	6	8	7	8	7	8	8	6	8	8	7	5	5	5	10	8	9	8	3	61
9	7	9	9	9	9	10	10	10	8	10	8	8	8	10	10	10	9	8	10	10	6	10	9	98	9	9	9	8	3	215
9	10	9	9	7	98	10	10	10	8	8	8	8	7	8	8	8	8	7	7	9	5	9	9	98	10	10	10	8	3	27
8	8	8	9	8	9	10	10	10	9	9	7	8	9	9	9	8	9	10	8	10	8	7	7	8	10	8	8	8	3	416
10	10	3	10	10	98	5	5	5	8	8	98	8	8	8	8	8	8	8	5	5	6	4	4	5	6	10	8	7	3	197
